Distritos;Percentil;Total
0202501 Caudete distrito 01;Percentil 10 de consumo eléctrico en kwh;629
0202501 Caudete distrito 01;Percentil 25 de consumo eléctrico en kwh;1.170
0202501 Caudete distrito 01;Percentil 50 de consumo eléctrico en kwh;2.130
0202501 Caudete distrito 01;Percentil 75 de consumo eléctrico en kwh;3.456
0202501 Caudete distrito 01;Percentil 90 de consumo eléctrico en kwh;5.375
0202601 Cenizate distrito 01 *;Percentil 10 de consumo eléctrico en kwh;538
0202601 Cenizate distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.206
0202601 Cenizate distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.474
0202601 Cenizate distrito 01 *;Percentil 75 de consumo eléctrico en kwh;4.106
0202601 Cenizate distrito 01 *;Percentil 90 de consumo eléctrico en kwh;6.481
0202901 ChinchilladeMonte-Aragón distrito 01;Percentil 10 de consumo eléctrico en kwh;539
0202901 ChinchilladeMonte-Aragón distrito 01;Percentil 25 de consumo eléctrico en kwh;1.006
0202901 ChinchilladeMonte-Aragón distrito 01;Percentil 50 de consumo eléctrico en kwh;1.759
0202901 ChinchilladeMonte-Aragón distrito 01;Percentil 75 de consumo eléctrico en kwh;2.766
0202901 ChinchilladeMonte-Aragón distrito 01;Percentil 90 de consumo eléctrico en kwh;4.097
0202902 ChinchilladeMonte-Aragón distrito 02;Percentil 10 de consumo eléctrico en kwh;510
0202902 ChinchilladeMonte-Aragón distrito 02;Percentil 25 de consumo eléctrico en kwh;1.085
0202902 ChinchilladeMonte-Aragón distrito 02;Percentil 50 de consumo eléctrico en kwh;2.154
0202902 ChinchilladeMonte-Aragón distrito 02;Percentil 75 de consumo eléctrico en kwh;3.477
0202902 ChinchilladeMonte-Aragón distrito 02;Percentil 90 de consumo eléctrico en kwh;5.439
0203001 ElchedelaSierra distrito 01;Percentil 10 de consumo eléctrico en kwh;435
0203001 ElchedelaSierra distrito 01;Percentil 25 de consumo eléctrico en kwh;853
0203001 ElchedelaSierra distrito 01;Percentil 50 de consumo eléctrico en kwh;1.992
0203001 ElchedelaSierra distrito 01;Percentil 75 de consumo eléctrico en kwh;3.471
0203001 ElchedelaSierra distrito 01;Percentil 90 de consumo eléctrico en kwh;5.361
0203002 ElchedelaSierra distrito 02;Percentil 10 de consumo eléctrico en kwh;462
0203002 ElchedelaSierra distrito 02;Percentil 25 de consumo eléctrico en kwh;890
0203002 ElchedelaSierra distrito 02;Percentil 50 de consumo eléctrico en kwh;2.030
0203002 ElchedelaSierra distrito 02;Percentil 75 de consumo eléctrico en kwh;3.413
0203002 ElchedelaSierra distrito 02;Percentil 90 de consumo eléctrico en kwh;4.927
0203301 Fuente-Álamo distrito 01;Percentil 10 de consumo eléctrico en kwh;561
0203301 Fuente-Álamo distrito 01;Percentil 25 de consumo eléctrico en kwh;1.191
0203301 Fuente-Álamo distrito 01;Percentil 50 de consumo eléctrico en kwh;2.400
0203301 Fuente-Álamo distrito 01;Percentil 75 de consumo eléctrico en kwh;3.799
0203301 Fuente-Álamo distrito 01;Percentil 90 de consumo eléctrico en kwh;5.452
0203401 Fuentealbilla distrito 01;Percentil 10 de consumo eléctrico en kwh;505
0203401 Fuentealbilla distrito 01;Percentil 25 de consumo eléctrico en kwh;1.099
0203401 Fuentealbilla distrito 01;Percentil 50 de consumo eléctrico en kwh;2.335
0203401 Fuentealbilla distrito 01;Percentil 75 de consumo eléctrico en kwh;4.107
0203401 Fuentealbilla distrito 01;Percentil 90 de consumo eléctrico en kwh;6.912
0203501 Gineta(La) distrito 01;Percentil 10 de consumo eléctrico en kwh;559
0203501 Gineta(La) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.207
0203501 Gineta(La) distrito 01;Percentil 50 de consumo eléctrico en kwh;2.290
0203501 Gineta(La) distrito 01;Percentil 75 de consumo eléctrico en kwh;3.622
0203501 Gineta(La) distrito 01;Percentil 90 de consumo eléctrico en kwh;5.217
0203701 Hellín distrito 01;Percentil 10 de consumo eléctrico en kwh;630
0203701 Hellín distrito 01;Percentil 25 de consumo eléctrico en kwh;1.224
0203701 Hellín distrito 01;Percentil 50 de consumo eléctrico en kwh;2.190
0203701 Hellín distrito 01;Percentil 75 de consumo eléctrico en kwh;3.344
0203701 Hellín distrito 01;Percentil 90 de consumo eléctrico en kwh;4.792
0203702 Hellín distrito 02;Percentil 10 de consumo eléctrico en kwh;652
0203702 Hellín distrito 02;Percentil 25 de consumo eléctrico en kwh;1.232
0203702 Hellín distrito 02;Percentil 50 de consumo eléctrico en kwh;2.157
0203702 Hellín distrito 02;Percentil 75 de consumo eléctrico en kwh;3.374
0203702 Hellín distrito 02;Percentil 90 de consumo eléctrico en kwh;4.836
0203703 Hellín distrito 03;Percentil 10 de consumo eléctrico en kwh;748
0203703 Hellín distrito 03;Percentil 25 de consumo eléctrico en kwh;1.396
0203703 Hellín distrito 03;Percentil 50 de consumo eléctrico en kwh;2.323
0203703 Hellín distrito 03;Percentil 75 de consumo eléctrico en kwh;3.448
0203703 Hellín distrito 03;Percentil 90 de consumo eléctrico en kwh;4.874
0203704 Hellín distrito 04;Percentil 10 de consumo eléctrico en kwh;565
0203704 Hellín distrito 04;Percentil 25 de consumo eléctrico en kwh;1.118
0203704 Hellín distrito 04;Percentil 50 de consumo eléctrico en kwh;2.264
0203704 Hellín distrito 04;Percentil 75 de consumo eléctrico en kwh;3.605
0203704 Hellín distrito 04;Percentil 90 de consumo eléctrico en kwh;5.368
0203705 Hellín distrito 05;Percentil 10 de consumo eléctrico en kwh;641
0203705 Hellín distrito 05;Percentil 25 de consumo eléctrico en kwh;1.381
0203705 Hellín distrito 05;Percentil 50 de consumo eléctrico en kwh;2.559
0203705 Hellín distrito 05;Percentil 75 de consumo eléctrico en kwh;4.005
0203705 Hellín distrito 05;Percentil 90 de consumo eléctrico en kwh;5.612
0203706 Hellín distrito 06;Percentil 10 de consumo eléctrico en kwh;505
0203706 Hellín distrito 06;Percentil 25 de consumo eléctrico en kwh;966
0203706 Hellín distrito 06;Percentil 50 de consumo eléctrico en kwh;2.149
0203706 Hellín distrito 06;Percentil 75 de consumo eléctrico en kwh;3.628
0203706 Hellín distrito 06;Percentil 90 de consumo eléctrico en kwh;5.605
0203901 Higueruela distrito 01;Percentil 10 de consumo eléctrico en kwh;460
0203901 Higueruela distrito 01;Percentil 25 de consumo eléctrico en kwh;872
