Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;01 Andalucía;21 Huelva;21043 Jabugo;Viviendas totales;1.404
Total Nacional;01 Andalucía;21 Huelva;21044 Lepe;Viviendas totales;21.967
Total Nacional;01 Andalucía;21 Huelva;21046 Lucena del Puerto;Viviendas totales;1.231
Total Nacional;01 Andalucía;21 Huelva;21047 Manzanilla;Viviendas totales;1.312
Total Nacional;01 Andalucía;21 Huelva;21049 Minas de Riotinto;Viviendas totales;2.373
Total Nacional;01 Andalucía;21 Huelva;21050 Moguer;Viviendas totales;11.054
Total Nacional;01 Andalucía;21 Huelva;21052 Nerva;Viviendas totales;3.127
Total Nacional;01 Andalucía;21 Huelva;21053 Niebla;Viviendas totales;2.285
Total Nacional;01 Andalucía;21 Huelva;21054 Palma del Condado, La;Viviendas totales;4.612
Total Nacional;01 Andalucía;21 Huelva;21055 Palos de la Frontera;Viviendas totales;5.060
Total Nacional;01 Andalucía;21 Huelva;21056 Paterna del Campo;Viviendas totales;1.840
Total Nacional;01 Andalucía;21 Huelva;21057 Paymogo;Viviendas totales;797
Total Nacional;01 Andalucía;21 Huelva;21058 Puebla de Guzmán;Viviendas totales;1.890
Total Nacional;01 Andalucía;21 Huelva;21060 Punta Umbría;Viviendas totales;17.421
Total Nacional;01 Andalucía;21 Huelva;21061 Rociana del Condado;Viviendas totales;3.251
Total Nacional;01 Andalucía;21 Huelva;21062 Rosal de la Frontera;Viviendas totales;1.154
Total Nacional;01 Andalucía;21 Huelva;21063 San Bartolomé de la Torre;Viviendas totales;2.035
